node_id,officer_count,name,country_codes
11013908,272,K.S. LIU CORPORATE SERVICES LTD.,HKG
11010457,270,CURACAO TRUST MANAGEMENT N.V.,
11001182,266,MOSSFON TRUST CORPORATION,PAN
11001686,265,SGG MANAGEMENT  BVI LTD.,ABW
11009029,265,INSTANT COMPANIES LIMITED,HKG
11000040,264,GESTAR S.A.,CHE
11010994,264,EQUITY TRUST (GUERNSEY) LIMITED,GGY;GBR
11001293,263,HERALD TRUST COMPANY LIMITED,JEY;GBR
119755,261,AY Commercial Law Offices ???????,TWN
298350,260,Accounts Centre International Ltd,GBR
11011555,259,"RIVAFID, SOCIETE FIDUCIAIRE S.A.",
11001123,258,MANAGEMENT CONSULTING ENTERPRISES INC.,ESP
11005837,255,TEAMWORK SECRETARIAL COMPANY LIMITED,HKG
23000282,253,"CREDIT SUISSE AG, NASSAU BRANCH LATAM",BHS
11000619,251,CANAL TRUST COMPANY LIMITED,JEY;GBR
11002282,251,INTERTRUST HONG KONG LIMITED,HKG
296520,250,Shelf Portfolio - Portcullis TrustNet (Singapore) Pte Limited,SGP
11001975,250,NAUTILUS FIDUCIARY  ASIA  LIMITED,HKG
11005871,249,BARCLAYS TRUST COMPANY JERSEY LIMITED,JEY;GBR
23000357,249,COTSWOLD CORPORATE SERVICES LIMITED,BHS
23000042,248,LOMBARD ODIER & CIE (BAHAMAS) LIMITED,BHS
11005175,246,PROBUS ADVISORY SA,CHE
11009348,246,LEIGHTON & LEIGHTON SNC,MCO
11012502,246,FINCORPO.COM & LEGAL SERVICES SA,
23000512,245,LYFORD INTERNATIONAL BANK AND TRUST LTD.,BHS
11010432,244,WARREN FINANCIAL SERVICES LIMITED,JEY;GBR
11000214,241,ILEX FIDUTRUST SA,CHE
298309,240,Sabourin and Sun Inc.,CAN
289704,239,Justice China & Taiwan Business Consulting Corp.,TWN
23000238,238,MCKINNEY TURNER,BHS
80010095,238,Appleby Trust (Isle of Man) Limited,IMN
230000084,237,International Trust Services Ltd.(Not Op,KNA
11007668,236,FIRST NAMES GROUP (JERSEY),JEY;GBR
11001722,235,FCI DAVID RISBEY,CHE
298161,234,Kinanis-Pyrgou & Co.,CYP
11005942,234,FIGED,CYP;LUX
11011092,231,MOORES ROWLAND CORPORATE SERVICES,MCO
11011452,231,JD-INFINUM FIDUCIAIRE SA,
23000458,231,GENESIS FUND SERVICES LIMITED,BHS
11001729,230,JIMENEZ CRUZ PEÑA,DOM
11002361,229,D & T CORPORATE SERVICES COMPANY LIMITED / CHEUNG CHEUNG & PARTNERS,HKG
11008970,229,CORPORATE INTERNAL SYSTEM,
11009262,229,PANAMA ADVISORY GROUP INC.,CHE
23000257,229,DAVIS & CO,BHS
23000480,229,LYFORD CORPORATE SERVICES LTD.,BHS
32000217,229,HIGGS & KELLY,BHS
130000034,229,TRIDENT CORPORATE SERVICES (BARBADOS) LT,BRB
11006109,228,SAH MANAGEMENT,ARE
32000189,226,CF CORPORATE SERVICE LIMITED,BHS
11012945,223,SEQUOIA TREUHAND TRUST REG,LIE
230000065,223,Corporate Trust Services Company Ltd.,KNA
11000053,222,INVICTA ADVISORY SA,CHE
11004437,222,BEIJING HATI BUSINESS CONSULTANT LIMITED,CHN
11005263,221,ABROAD FIDUCIAIRE SARL,LUX
11011654,220,UBS S.A.(SERVICIOS JURIDICOS) (AA2M),CHE
23000056,219,MORTIMER & CO.,BHS
230000097,219,Julien Prevost,KNA
297601,217,ABI Trust Ltd.,ATG
11013951,217,BRIGHT SIDE S.A.,URY
11009478,216,CHARTWELL TRUST SERVICES S.A.,
23000414,216,GILINGAM BANK formerly GUTA BANK & TRUST,BHS
291663,215,Horwath Management Consultants Limited (Taipei),TWN
292494,215,Kaizen Certified Public Accountants Limited,HKG
11013202,215,"OFIR TSHORNY, ADV (CPA)",ISR
292575,214,KEDP Management Consulting Inc.,TWN
23000163,214,SEARS & CO.,BHS
298263,213,Proform Offshore Limited,GBR
297611,211,Appleton Company Services Limited,GBR
